+---------------------------------------------------------------+
|             Report of 2D FEA based PEmag results              |
|               Created by PEmag Release 2022 R2               |
|                 © 2022 UPM-SAS IP, Inc.                 |
+---------------------------------------------------------------+

-----------------------------------------------------------
  Magnetic Component Name: Trans_ETD39
  Number of Windings: 4
-----------------------------------------------------------

+---------------------------------------------+
|                                             |
|  Resistance as a function of the Frequency  |
|                                             |
+---------------------------------------------+

+-------------------------+
| Resistance of Winding 1 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
|    1.05e+04    |         2.33   |
|     1.1e+04    |         2.33   |
|    1.15e+04    |         2.33   |
|     1.2e+04    |         2.33   |
|    1.26e+04    |         2.33   |
|    1.32e+04    |         2.33   |
|    1.38e+04    |         2.33   |
|    1.45e+04    |         2.33   |
|    1.52e+04    |         2.34   |
|    1.59e+04    |         2.34   |
|    1.67e+04    |         2.34   |
|    1.75e+04    |         2.34   |
|    1.83e+04    |         2.34   |
|    1.92e+04    |         2.34   |
|    2.01e+04    |         2.34   |
|     2.1e+04    |         2.34   |
|    2.21e+04    |         2.34   |
|    2.31e+04    |         2.34   |
|    2.42e+04    |         2.34   |
|    2.54e+04    |         2.34   |
|    2.66e+04    |         2.34   |
|    2.78e+04    |         2.34   |
|    2.92e+04    |         2.34   |
|    3.05e+04    |         2.35   |
|     3.2e+04    |         2.35   |
|    3.35e+04    |         2.35   |
|    3.51e+04    |         2.35   |
|    3.68e+04    |         2.35   |
|    3.85e+04    |         2.35   |
|    4.04e+04    |         2.36   |
|    4.23e+04    |         2.36   |
|    4.43e+04    |         2.36   |
|    4.64e+04    |         2.36   |
|    4.86e+04    |         2.37   |
|    5.09e+04    |         2.37   |
|    5.34e+04    |         2.37   |
|    5.59e+04    |         2.38   |
|    5.86e+04    |         2.38   |
|    6.14e+04    |         2.39   |
|    6.43e+04    |         2.39   |
|    6.73e+04    |          2.4   |
|    7.05e+04    |         2.41   |
|    7.39e+04    |         2.41   |
|    7.74e+04    |         2.42   |
|    8.11e+04    |         2.43   |
|     8.5e+04    |         2.44   |
|     8.9e+04    |         2.45   |
|    9.33e+04    |         2.46   |
|    9.77e+04    |         2.48   |
|    1.02e+05    |         2.49   |
|    1.07e+05    |         2.51   |
|    1.12e+05    |         2.52   |
|    1.18e+05    |         2.54   |
|    1.23e+05    |         2.56   |
|    1.29e+05    |         2.58   |
|    1.35e+05    |         2.61   |
|    1.42e+05    |         2.64   |
|    1.48e+05    |         2.67   |
|    1.56e+05    |          2.7   |
|    1.63e+05    |         2.73   |
|    1.71e+05    |         2.77   |
|    1.79e+05    |         2.82   |
|    1.87e+05    |         2.86   |
|    1.96e+05    |         2.92   |
|    2.06e+05    |         2.97   |
|    2.15e+05    |         3.04   |
|    2.26e+05    |          3.1   |
|    2.36e+05    |         3.18   |
|    2.48e+05    |         3.26   |
|     2.6e+05    |         3.35   |
|    2.72e+05    |         3.45   |
|    2.85e+05    |         3.56   |
|    2.98e+05    |         3.68   |
|    3.13e+05    |         3.81   |
|    3.27e+05    |         3.96   |
|    3.43e+05    |         4.11   |
|    3.59e+05    |         4.29   |
|    3.76e+05    |         4.48   |
|    3.94e+05    |         4.69   |
|    4.13e+05    |         4.92   |
|    4.33e+05    |         5.17   |
|    4.53e+05    |         5.44   |
|    4.75e+05    |         5.75   |
|    4.98e+05    |         6.08   |
|    5.21e+05    |         6.44   |
|    5.46e+05    |         6.84   |
|    5.72e+05    |         7.28   |
|    5.99e+05    |         7.76   |
|    6.28e+05    |         8.29   |
|    6.58e+05    |         8.87   |
|    6.89e+05    |          9.5   |
|    7.22e+05    |         10.2   |
|    7.56e+05    |           11   |
|    7.92e+05    |         11.8   |
|     8.3e+05    |         12.7   |
|     8.7e+05    |         13.7   |
|    9.11e+05    |         14.8   |
|    9.55e+05    |           16   |
|       1e+06    |         17.3   |
+----------------+----------------+


+------------------------------------------------------+
|                                                      |
|  Leakage Inductance as a function of the Frequency   |
|  Assuming Ideal Core (No energy stored in the core)  |
|                                                      |
+------------------------------------------------------+

+-------------------------------------------------------------+
|             Leakage Inductance from Winding 1               |
| Supplying Winding 1 with the other windings short-circuited |
+-------------------------------------------------------------+

+----------------+----------------+
| Frequency (Hz) |   Lleak (uH)   |
+----------------+----------------+
|       1e+04    |         27.8   |
|    1.05e+04    |         27.8   |
|     1.1e+04    |         27.8   |
|    1.15e+04    |         27.8   |
|     1.2e+04    |         27.8   |
|    1.26e+04    |         27.8   |
|    1.32e+04    |         27.7   |
|    1.38e+04    |         27.7   |
|    1.45e+04    |         27.7   |
|    1.52e+04    |         27.7   |
|    1.59e+04    |         27.7   |
|    1.67e+04    |         27.7   |
|    1.75e+04    |         27.7   |
|    1.83e+04    |         27.7   |
|    1.92e+04    |         27.7   |
|    2.01e+04    |         27.7   |
|     2.1e+04    |         27.7   |
|    2.21e+04    |         27.7   |
|    2.31e+04    |         27.7   |
|    2.42e+04    |         27.7   |
|    2.54e+04    |         27.7   |
|    2.66e+04    |         27.7   |
|    2.78e+04    |         27.7   |
|    2.92e+04    |         27.7   |
|    3.05e+04    |         27.7   |
|     3.2e+04    |         27.7   |
|    3.35e+04    |         27.7   |
|    3.51e+04    |         27.7   |
|    3.68e+04    |         27.7   |
|    3.85e+04    |         27.7   |
|    4.04e+04    |         27.7   |
|    4.23e+04    |         27.7   |
|    4.43e+04    |         27.7   |
|    4.64e+04    |         27.7   |
|    4.86e+04    |         27.7   |
|    5.09e+04    |         27.7   |
|    5.34e+04    |         27.7   |
|    5.59e+04    |         27.7   |
|    5.86e+04    |         27.7   |
|    6.14e+04    |         27.7   |
|    6.43e+04    |         27.7   |
|    6.73e+04    |         27.7   |
|    7.05e+04    |         27.7   |
|    7.39e+04    |         27.7   |
|    7.74e+04    |         27.7   |
|    8.11e+04    |         27.7   |
|     8.5e+04    |         27.7   |
|     8.9e+04    |         27.7   |
|    9.33e+04    |         27.7   |
|    9.77e+04    |         27.7   |
|    1.02e+05    |         27.7   |
|    1.07e+05    |         27.7   |
|    1.12e+05    |         27.7   |
|    1.18e+05    |         27.7   |
|    1.23e+05    |         27.7   |
|    1.29e+05    |         27.7   |
|    1.35e+05    |         27.7   |
|    1.42e+05    |         27.7   |
|    1.48e+05    |         27.7   |
|    1.56e+05    |         27.7   |
|    1.63e+05    |         27.7   |
|    1.71e+05    |         27.7   |
|    1.79e+05    |         27.7   |
|    1.87e+05    |         27.7   |
|    1.96e+05    |         27.7   |
|    2.06e+05    |         27.7   |
|    2.15e+05    |         27.7   |
|    2.26e+05    |         27.7   |
|    2.36e+05    |         27.7   |
|    2.48e+05    |         27.7   |
|     2.6e+05    |         27.7   |
|    2.72e+05    |         27.7   |
|    2.85e+05    |         27.7   |
|    2.98e+05    |         27.7   |
|    3.13e+05    |         27.7   |
|    3.27e+05    |         27.7   |
|    3.43e+05    |         27.7   |
|    3.59e+05    |         27.7   |
|    3.76e+05    |         27.7   |
|    3.94e+05    |         27.7   |
|    4.13e+05    |         27.7   |
|    4.33e+05    |         27.7   |
|    4.53e+05    |         27.7   |
|    4.75e+05    |         27.7   |
|    4.98e+05    |         27.7   |
|    5.21e+05    |         27.7   |
|    5.46e+05    |         27.7   |
|    5.72e+05    |         27.7   |
|    5.99e+05    |         27.7   |
|    6.28e+05    |         27.7   |
|    6.58e+05    |         27.7   |
|    6.89e+05    |         27.7   |
|    7.22e+05    |         27.7   |
|    7.56e+05    |         27.7   |
|    7.92e+05    |         27.7   |
|     8.3e+05    |         27.7   |
|     8.7e+05    |         27.7   |
|    9.11e+05    |         27.7   |
|    9.55e+05    |         27.7   |
|       1e+06    |         27.7   |
+----------------+----------------+

+-------------------------------------------------------------+
|             Leakage Inductance from Winding 2               |
| Supplying Winding 2 with the other windings short-circuited |
+-------------------------------------------------------------+

+----------------+----------------+
| Frequency (Hz) |   Lleak (uH)   |
+----------------+----------------+
|       1e+04    |         0.12   |
|    1.05e+04    |         0.12   |
|     1.1e+04    |         0.12   |
|    1.15e+04    |        0.119   |
|     1.2e+04    |        0.119   |
|    1.26e+04    |        0.119   |
|    1.32e+04    |        0.118   |
|    1.38e+04    |        0.118   |
|    1.45e+04    |        0.118   |
|    1.52e+04    |        0.118   |
|    1.59e+04    |        0.118   |
|    1.67e+04    |        0.117   |
|    1.75e+04    |        0.117   |
|    1.83e+04    |        0.117   |
|    1.92e+04    |        0.117   |
|    2.01e+04    |        0.117   |
|     2.1e+04    |        0.117   |
|    2.21e+04    |        0.117   |
|    2.31e+04    |        0.116   |
|    2.42e+04    |        0.116   |
|    2.54e+04    |        0.116   |
|    2.66e+04    |        0.116   |
|    2.78e+04    |        0.116   |
|    2.92e+04    |        0.116   |
|    3.05e+04    |        0.116   |
|     3.2e+04    |        0.116   |
|    3.35e+04    |        0.116   |
|    3.51e+04    |        0.116   |
|    3.68e+04    |        0.116   |
|    3.85e+04    |        0.116   |
|    4.04e+04    |        0.116   |
|    4.23e+04    |        0.116   |
|    4.43e+04    |        0.116   |
|    4.64e+04    |        0.116   |
|    4.86e+04    |        0.116   |
|    5.09e+04    |        0.116   |
|    5.34e+04    |        0.116   |
|    5.59e+04    |        0.116   |
|    5.86e+04    |        0.116   |
|    6.14e+04    |        0.116   |
|    6.43e+04    |        0.116   |
|    6.73e+04    |        0.116   |
|    7.05e+04    |        0.115   |
|    7.39e+04    |        0.115   |
|    7.74e+04    |        0.115   |
|    8.11e+04    |        0.115   |
|     8.5e+04    |        0.115   |
|     8.9e+04    |        0.115   |
|    9.33e+04    |        0.115   |
|    9.77e+04    |        0.115   |
|    1.02e+05    |        0.115   |
|    1.07e+05    |        0.115   |
|    1.12e+05    |        0.115   |
|    1.18e+05    |        0.115   |
|    1.23e+05    |        0.115   |
|    1.29e+05    |        0.115   |
|    1.35e+05    |        0.115   |
|    1.42e+05    |        0.115   |
|    1.48e+05    |        0.115   |
|    1.56e+05    |        0.115   |
|    1.63e+05    |        0.115   |
|    1.71e+05    |        0.115   |
|    1.79e+05    |        0.115   |
|    1.87e+05    |        0.115   |
|    1.96e+05    |        0.115   |
|    2.06e+05    |        0.115   |
|    2.15e+05    |        0.115   |
|    2.26e+05    |        0.115   |
|    2.36e+05    |        0.115   |
|    2.48e+05    |        0.115   |
|     2.6e+05    |        0.115   |
|    2.72e+05    |        0.115   |
|    2.85e+05    |        0.115   |
|    2.98e+05    |        0.115   |
|    3.13e+05    |        0.115   |
|    3.27e+05    |        0.115   |
|    3.43e+05    |        0.114   |
|    3.59e+05    |        0.114   |
|    3.76e+05    |        0.114   |
|    3.94e+05    |        0.114   |
|    4.13e+05    |        0.114   |
|    4.33e+05    |        0.114   |
|    4.53e+05    |        0.114   |
|    4.75e+05    |        0.114   |
|    4.98e+05    |        0.114   |
|    5.21e+05    |        0.113   |
|    5.46e+05    |        0.113   |
|    5.72e+05    |        0.113   |
|    5.99e+05    |        0.113   |
|    6.28e+05    |        0.113   |
|    6.58e+05    |        0.113   |
|    6.89e+05    |        0.113   |
|    7.22e+05    |        0.112   |
|    7.56e+05    |        0.112   |
|    7.92e+05    |        0.112   |
|     8.3e+05    |        0.112   |
|     8.7e+05    |        0.112   |
|    9.11e+05    |        0.111   |
|    9.55e+05    |        0.111   |
|       1e+06    |        0.111   |
+----------------+----------------+

+-------------------------------------------------------------+
|             Leakage Inductance from Winding 3               |
| Supplying Winding 3 with the other windings short-circuited |
+-------------------------------------------------------------+

+----------------+----------------+
| Frequency (Hz) |   Lleak (uH)   |
+----------------+----------------+
|       1e+04    |       0.0637   |
|    1.05e+04    |       0.0637   |
|     1.1e+04    |       0.0637   |
|    1.15e+04    |       0.0637   |
|     1.2e+04    |       0.0636   |
|    1.26e+04    |       0.0636   |
|    1.32e+04    |       0.0636   |
|    1.38e+04    |       0.0636   |
|    1.45e+04    |       0.0636   |
|    1.52e+04    |       0.0636   |
|    1.59e+04    |       0.0635   |
|    1.67e+04    |       0.0635   |
|    1.75e+04    |       0.0635   |
|    1.83e+04    |       0.0635   |
|    1.92e+04    |       0.0635   |
|    2.01e+04    |       0.0635   |
|     2.1e+04    |       0.0635   |
|    2.21e+04    |       0.0635   |
|    2.31e+04    |       0.0635   |
|    2.42e+04    |       0.0635   |
|    2.54e+04    |       0.0635   |
|    2.66e+04    |       0.0635   |
|    2.78e+04    |       0.0635   |
|    2.92e+04    |       0.0635   |
|    3.05e+04    |       0.0634   |
|     3.2e+04    |       0.0634   |
|    3.35e+04    |       0.0634   |
|    3.51e+04    |       0.0634   |
|    3.68e+04    |       0.0634   |
|    3.85e+04    |       0.0634   |
|    4.04e+04    |       0.0634   |
|    4.23e+04    |       0.0634   |
|    4.43e+04    |       0.0634   |
|    4.64e+04    |       0.0634   |
|    4.86e+04    |       0.0634   |
|    5.09e+04    |       0.0634   |
|    5.34e+04    |       0.0634   |
|    5.59e+04    |       0.0634   |
|    5.86e+04    |       0.0634   |
|    6.14e+04    |       0.0634   |
|    6.43e+04    |       0.0634   |
|    6.73e+04    |       0.0634   |
|    7.05e+04    |       0.0634   |
|    7.39e+04    |       0.0634   |
|    7.74e+04    |       0.0634   |
|    8.11e+04    |       0.0634   |
|     8.5e+04    |       0.0634   |
|     8.9e+04    |       0.0634   |
|    9.33e+04    |       0.0634   |
